area,entity,v1_path,v2_path,status,notes
Content,Courses,/v1/courses,/v2/courses/,both,"v2 adds external_id, is_published, lesson_count; drops course_time/manual timing fields and labels. No DELETE in v2."
Content,Course labels,/v1/courses/{id}/labels,,v1,Label taxonomy has no v2 equivalent.
Content,Labels,/v1/labels,,v1,
Content,Lessons,/v1/lessons,/v2/lessons/,both,"v2 adds content_items (inline), quiz_id, external_id, timestamps; drops display_fullscreen, optional, search_keywords, time_seconds, tooltip_html. No DELETE in v2."
Content,Lesson content items,/v1/lessons/{id}/content-items,,v1,"In v2 folded into lesson attributes as content_items, not a separate resource."
Content,Rating content blocks,/v1/lessons/{id}/rating-content-blocks,,v1,v2 exposes RatingConfig on lessons + read-only analytics ratings.
Content,Assets,/v1/assets,,v1,No file/asset upload in v2.
Content,Web packages,/v1/web-packages,/v2/web-packages/,both,"v2 adds base_path, display_name, timestamps; drops download_url, redirect_on_completion, sync_completion. v1 has PUT .../lessons to attach."
Assessment,Quizzes,/v1/quizzes,/v2/quizzes/,both,"v2 adds description_html, skip_start_screen, external_id, timestamps; v1 'html' dropped."
Assessment,Questions,/v1/quiz-questions,/v2/questions/,both,"Renamed. v2 adds order, is_graded, is_optional, question_bank_id, external_id; v1 'html'->question_html, 'type'->question_type."
Assessment,Question banks,/v1/question-banks,/v2/question-banks/,both,v1 is read-mostly for bank contents (GET/DELETE questions only). v2 has full write via /v2/questions/ with question_bank_id.
Assessment,Quiz-to-bank binding,/v1/quizzes/{id}/question-banks,/v2/quizzes/{id}/question-banks/,both,"v1 READ-ONLY (GET only). v2 adds POST/PATCH/DELETE - you can bind, reweight and unbind banks."
Catalog,Domains,/v1/domains,/v2/domains/,both,"v1 is writable (PATCH/PUT); v2 is READ-ONLY. v2 adds require_https, external_id."
Catalog,Published courses,/v1/domains/{d}/published-courses,/v2/published-courses/,both,"v1 nested under domain; v2 top-level. v2 adds access_period_*, live, open_access, visibility_override_type, visible_on_catalog; v1 registration_* and offer dropped."
Catalog,Publish / unpublish,,/v2/published-courses/{id}/publish|unpublish,v2,Explicit lifecycle verbs; v1 approximates via the 'hidden' field.
Catalog,Course prerequisites,/v1/.../published-course-prerequisites,,v1,No prerequisite management in v2.
